ts,n_opps,n_features,n_scores,n_accepts,gross_weight,active_symbols,port_ret_simple,equity_simple,port_ret,equity
2026-02-12 05:00:00+00:00,10,10,10,5,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 06:00:00+00:00,10,10,10,5,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 07:00:00+00:00,10,10,10,4,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 08:00:00+00:00,10,10,10,4,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 09:00:00+00:00,10,10,10,4,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 10:00:00+00:00,10,10,10,4,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 11:00:00+00:00,10,10,10,4,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 12:00:00+00:00,10,10,10,4,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 13:00:00+00:00,10,10,10,4,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 14:00:00+00:00,10,10,10,5,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 15:00:00+00:00,10,10,10,4,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 16:00:00+00:00,10,10,10,4,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 17:00:00+00:00,10,10,10,5,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 18:00:00+00:00,10,10,10,5,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 19:00:00+00:00,10,10,10,4,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 20:00:00+00:00,10,10,10,4,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 21:00:00+00:00,10,10,10,3,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 22:00:00+00:00,10,10,10,3,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-12 23:00:00+00:00,10,10,10,3,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-13 00:00:00+00:00,10,10,10,3,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-13 01:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-13 02:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-13 03:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-13 04:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-13 05:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-13 06:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-13 07:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-13 08:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
2026-02-13 09:00:00+00:00,10,10,10,2,0.0,0,0.0,1016.5696775663882,0.0,1002.1695429806878
